,202009,202008
65170314,file replaced,file replaced
65185678,file replaced,file replaced
83774745,download fail,download fail
65196701,file replaced,file replaced
65171102,file replaced,file replaced
118641824,download fail,download fail
124524196,download fail,download fail
65171113,file replaced,file replaced
83200947,file replaced,file replaced
65171124,file replaced,file replaced
66087734,file replaced,file replaced
65181879,file replaced,file replaced
85043515,download fail,download fail
65171135,file replaced,file replaced
39321285,file replaced,file replaced
70983625,file replaced,file replaced
74034645,file replaced,file replaced
103112789,download fail,download fail
65176041,file replaced,file replaced
75406578,file replaced,file replaced
65180535,file replaced,file replaced
38740856,file replaced,file replaced
65170303,file replaced,file replaced
