,202008,202009
75963139,file replaced,file replaced
116166533,file replaced,file replaced
65191431,file replaced,file replaced
65197704,file replaced,file replaced
109669896,file replaced,file replaced
65196426,file replaced,file replaced
114502281,file replaced,file replaced
65178765,file replaced,download fail
74205965,file replaced,file replaced
66400783,file replaced,file replaced
85026959,file replaced,file replaced
65186579,file replaced,file replaced
65195412,file replaced,file replaced
65173781,file replaced,file replaced
112530067,file replaced,file replaced
70983831,file replaced,file replaced
67955992,download fail,download fail
40496025,file replaced,file replaced
107079575,file replaced,file replaced
66404252,file replaced,file replaced
66414622,file replaced,file replaced
65192228,file replaced,file replaced
116657701,file replaced,file replaced
68140071,file replaced,file replaced
65174443,file replaced,file replaced
79928875,download fail,download fail
104372911,file replaced,file replaced
109514287,file replaced,file replaced
65164209,file replaced,file replaced
65167539,file replaced,file replaced
69403189,file replaced,file replaced
69444534,file replaced,file replaced
116955701,file replaced,file replaced
74786233,file replaced,file replaced
103555129,file replaced,file replaced
100048572,file replaced,file replaced
66401343,file replaced,file replaced
103699775,file replaced,file replaced
116649279,file replaced,file replaced
65177922,file replaced,file replaced
101572546,file replaced,file replaced
69445572,file replaced,file replaced
65195718,file replaced,file replaced
73697991,file replaced,file replaced
65163593,file replaced,file replaced
75694026,file replaced,file replaced
82660814,file replaced,file replaced
65187152,file replaced,file replaced
65194704,file replaced,file replaced
65194203,file replaced,file replaced
72152412,file replaced,file replaced
105847519,file replaced,file replaced
120425695,file replaced,file replaced
78277993,file replaced,file replaced
65177066,file replaced,file replaced
72658922,file replaced,file replaced
117665385,file replaced,file replaced
119387376,file replaced,file replaced
65191921,file replaced,file replaced
39416818,download fail,download fail
65189364,file replaced,file replaced
108595063,file replaced,file replaced
77053561,file replaced,file replaced
