,202009,202008
69670912,download fail,file replaced
119168517,new file added,file replaced
69932039,download fail,file replaced
103534093,download fail,file replaced
73937934,download fail,file replaced
65186832,download fail,file replaced
65191954,download fail,file replaced
40486418,download fail,file replaced
76809748,download fail,file replaced
100127768,download fail,file replaced
103704091,download fail,download fail
78878237,download fail,file replaced
65192478,download fail,file replaced
65171999,download fail,file replaced
76614175,download fail,file replaced
100469793,download fail,file replaced
100565022,download fail,file replaced
65167392,download fail,download fail
123709982,download fail,file replaced
103704103,download fail,download fail
65175082,download fail,file replaced
83260465,download fail,file replaced
101572659,download fail,file replaced
81963574,download fail,download fail
65189945,download fail,file replaced
65177658,download fail,file replaced
102346815,download fail,file replaced
65189444,download fail,download fail
65169992,download fail,download fail
65188428,download fail,file replaced
78450252,download fail,download fail
120189517,new file added,file replaced
72658512,download fail,file replaced
71114323,download fail,download fail
76617299,download fail,file replaced
77675605,download fail,file replaced
75894869,download fail,file replaced
74109531,download fail,file replaced
65198172,download fail,download fail
76616797,download fail,download fail
76621408,download fail,file replaced
80487526,download fail,download fail
65181799,download fail,file replaced
65165418,download fail,file replaced
119168619,new file added,file replaced
76621421,download fail,file replaced
83953777,download fail,download fail
113622131,download fail,file replaced
74034292,download fail,file replaced
65179768,download fail,file replaced
109326458,download fail,file replaced
72658556,download fail,file replaced
65195651,download fail,download fail
65170052,download fail,file replaced
65188485,download fail,file replaced
76621443,download fail,file replaced
65177738,download fail,download fail
83688587,download fail,file replaced
65173655,download fail,download fail
65177751,download fail,download fail
65188508,download fail,file replaced
65176735,download fail,download fail
65164448,download fail,file replaced
65194145,download fail,file replaced
74122401,download fail,file replaced
76617379,download fail,file replaced
76621476,download fail,file replaced
40494245,download fail,download fail
68692135,download fail,file replaced
65176746,download fail,download fail
65189034,download fail,file replaced
79426734,download fail,download fail
71336114,download fail,download fail
72657597,download fail,file replaced
101132989,download fail,file replaced
125949632,new file added,file replaced
73394881,download fail,file replaced
67741891,download fail,download fail
112507592,download fail,file replaced
73174219,download fail,file replaced
77497553,download fail,file replaced
84747475,download fail,download fail
108091095,download fail,file replaced
119326935,download fail,file replaced
65181403,download fail,file replaced
117851867,new file added,file replaced
75906782,download fail,file replaced
65174751,download fail,file replaced
118149344,download fail,file replaced
79509217,download fail,download fail
72662243,download fail,download fail
72303334,download fail,download fail
83333354,download fail,file replaced
75895021,download fail,file replaced
76614381,new file added,file replaced
76617459,download fail,file replaced
75906805,download fail,file replaced
75895032,new file added,file replaced
117710074,download fail,file replaced
65195775,download fail,file replaced
75906816,download fail,file replaced
119161605,download fail,file replaced
65181959,download fail,file replaced
65186056,download fail,download fail
65186568,download fail,file replaced
83737359,download fail,download fail
110067473,download fail,download fail
65164049,download fail,file replaced
118040851,download fail,file replaced
110555925,download fail,file replaced
109168406,new file added,file replaced
65168156,download fail,file replaced
73394972,download fail,file replaced
120448796,new file added,file replaced
108346655,download fail,download fail
72003873,download fail,file replaced
124677921,new file added,file replaced
69931812,download fail,download fail
118901548,new file added,file replaced
40464173,download fail,file replaced
69356335,download fail,file replaced
111149872,download fail,file replaced
81890105,download fail,file replaced
66050362,download fail,file replaced
65190211,download fail,file replaced
76617027,download fail,file replaced
73698117,download fail,file replaced
84180294,download fail,file replaced
76614472,new file added,file replaced
65176906,download fail,file replaced
65190222,download fail,file replaced
65183056,download fail,file replaced
102920535,download fail,file replaced
83260248,download fail,file replaced
65183579,download fail,download fail
76617051,download fail,file replaced
65183581,download fail,download fail
75895134,download fail,file replaced
114679645,download fail,file replaced
70978401,download fail,download fail
74115428,download fail,file replaced
106663269,download fail,file replaced
65183592,download fail,download fail
110320491,new file added,file replaced
78850926,download fail,file replaced
109497711,download fail,file replaced
85098866,download fail,file replaced
65183604,download fail,download fail
106592116,download fail,download fail
65163638,download fail,file replaced
66081142,download fail,file replaced
103322488,download fail,file replaced
109914484,download fail,file replaced
76614005,download fail,download fail
76614517,new file added,file replaced
119362939,download fail,download fail
65187709,download fail,file replaced
65183615,download fail,download fail
67952514,download fail,file replaced
103636871,download fail,file replaced
117365639,download fail,download fail
65183626,download fail,download fail
69932427,download fail,file replaced
65193357,download fail,file replaced
109326221,download fail,file replaced
65169809,download fail,file replaced
83260306,download fail,file replaced
65169811,download fail,file replaced
65174933,download fail,file replaced
65183637,download fail,download fail
76614552,new file added,file replaced
118180763,download fail,file replaced
76617118,download fail,file replaced
65183648,download fail,download fail
67735968,download fail,file replaced
65171875,download fail,file replaced
65197987,download fail,download fail
107210659,download fail,file replaced
100173222,download fail,file replaced
111095716,download fail,file replaced
80001962,download fail,file replaced
76621226,download fail,file replaced
102604715,download fail,file replaced
65183661,download fail,download fail
101776814,download fail,file replaced
105691566,download fail,file replaced
118180785,download fail,file replaced
65195957,download fail,file replaced
65183672,download fail,download fail
84654521,download fail,file replaced
104090552,download fail,download fail
65180615,download fail,file replaced
118180808,download fail,download fail
101572557,download fail,file replaced
67952593,download fail,file replaced
65192401,download fail,file replaced
102239187,download fail,file replaced
125329878,download fail,file replaced
106806231,download fail,download fail
76617175,download fail,file replaced
101572568,download fail,file replaced
65177567,download fail,download fail
65170405,download fail,file replaced
65177578,download fail,download fail
110134258,download fail,file replaced
67952115,download fail,file replaced
100393973,download fail,file replaced
65186295,download fail,download fail
76621306,download fail,file replaced
76614142,download fail,download fail
73000447,download fail,file replaced
