,202009,202010
75963139,file replaced,download fail
116166533,file replaced,new file added
65191431,file replaced,download fail
65197704,file replaced,download fail
109669896,file replaced,download fail
65196426,file replaced,download fail
114502281,file replaced,new file added
65178765,file replaced,download fail
74205965,file replaced,download fail
66400783,file replaced,download fail
85026959,download fail,download fail
65186579,file replaced,download fail
65195412,file replaced,download fail
65173781,file replaced,download fail
112530067,file replaced,new file added
70983831,file replaced,download fail
67955992,download fail,download fail
40496025,download fail,download fail
107079575,file replaced,download fail
66404252,file replaced,download fail
66414622,file replaced,download fail
65192228,file replaced,download fail
116657701,file replaced,new file added
68140071,file replaced,download fail
65174443,file replaced,download fail
79928875,download fail,download fail
104372911,file replaced,download fail
109514287,file replaced,download fail
65164209,file replaced,download fail
65167539,file replaced,download fail
69403189,file replaced,download fail
69444534,file replaced,download fail
116955701,file replaced,new file added
74786233,file replaced,download fail
103555129,file replaced,download fail
100048572,file replaced,download fail
66401343,file replaced,download fail
103699775,file replaced,download fail
116649279,file replaced,new file added
65177922,file replaced,download fail
101572546,file replaced,download fail
69445572,file replaced,download fail
65195718,file replaced,download fail
73697991,file replaced,download fail
65163593,file replaced,download fail
75694026,file replaced,download fail
82660814,file replaced,download fail
65187152,file replaced,download fail
65194704,file replaced,download fail
65194203,file replaced,download fail
72152412,file replaced,download fail
105847519,file replaced,download fail
120425695,download fail,download fail
78277993,file replaced,download fail
65177066,file replaced,download fail
72658922,file replaced,download fail
117665385,file replaced,new file added
119387376,download fail,download fail
65191921,file replaced,download fail
39416818,download fail,download fail
65189364,file replaced,download fail
108595063,file replaced,download fail
77053561,file replaced,download fail
