,202008,202009
75963139,file replaced,new file added
116166533,file replaced,new file added
65191431,file replaced,new file added
65197704,file replaced,new file added
109669896,file replaced,new file added
65196426,file replaced,new file added
114502281,file replaced,new file added
65178765,file replaced,download fail
74205965,file replaced,new file added
66400783,file replaced,new file added
85026959,file replaced,new file added
65186579,file replaced,new file added
65195412,file replaced,new file added
65173781,file replaced,new file added
112530067,file replaced,new file added
70983831,file replaced,new file added
67955992,download fail,download fail
40496025,file replaced,new file added
107079575,file replaced,new file added
66404252,file replaced,new file added
66414622,file replaced,new file added
65192228,file replaced,new file added
116657701,file replaced,new file added
68140071,file replaced,new file added
65174443,file replaced,new file added
79928875,download fail,download fail
104372911,file replaced,new file added
109514287,file replaced,new file added
65164209,file replaced,new file added
65167539,file replaced,new file added
69403189,file replaced,new file added
69444534,file replaced,new file added
116955701,file replaced,new file added
74786233,file replaced,new file added
103555129,file replaced,new file added
100048572,file replaced,new file added
66401343,file replaced,new file added
103699775,file replaced,new file added
116649279,file replaced,new file added
65177922,file replaced,new file added
101572546,file replaced,new file added
69445572,file replaced,new file added
65195718,file replaced,new file added
73697991,file replaced,new file added
65163593,file replaced,new file added
75694026,file replaced,new file added
82660814,file replaced,new file added
65187152,file replaced,new file added
65194704,file replaced,new file added
65194203,file replaced,new file added
72152412,file replaced,new file added
105847519,file replaced,new file added
120425695,file replaced,new file added
78277993,file replaced,new file added
65177066,file replaced,new file added
72658922,file replaced,new file added
117665385,file replaced,new file added
119387376,file replaced,new file added
65191921,file replaced,new file added
39416818,download fail,download fail
65189364,file replaced,new file added
108595063,file replaced,new file added
77053561,file replaced,new file added
